timestamp,CPU US,CPU SY,CPU ID,MEM USED,MEM BUFF,Stellar CPU%,Stellar MEM%,PGSQL CPU%,PGSQL MEM%
2021-05-17 16:40:34,4.4,0.5,0.9,10421.2,497.3,27.0,0.8,11.0,0.5
2021-05-17 16:40:35,1.0,1.0,2.4,10421.2,497.3,8.9,0.8,2.0,0.5
2021-05-17 16:40:36,2.0,1.1,0.2,10421.2,497.3,17.0,0.8,2.0,0.5
2021-05-17 16:40:37,1.4,0.4,0.0,10422.1,496.6,13.0,0.8,3.0,0.5
2021-05-17 16:40:38,2.9,1.0,0.5,10422.1,496.6,20.0,0.8,4.0,0.5
2021-05-17 16:40:39,7.6,1.3,1.6,10422.1,496.6,39.0,0.8,33.0,0.5
2021-05-17 17:08:38,0.0,0.0,0.0,10425.3,496.8,0.0,0.8,0.0,0.5
2021-05-17 17:08:39,1.0,0.3,0.1,10425.3,496.8,11.0,0.8,1.0,0.5
2021-05-17 17:08:40,3.7,0.7,3.1,10425.3,496.8,26.7,0.8,9.9,0.5
2021-05-17 17:08:41,3.3,0.8,1.3,10424.8,497.2,21.0,0.8,8.0,0.5
2021-05-17 17:08:42,2.1,1.1,0.0,10424.8,497.2,14.0,0.8,2.0,0.5
2021-05-17 17:08:43,1.7,0.6,0.1,10424.8,497.2,9.0,0.8,1.0,0.5
2021-05-17 17:08:44,0.9,0.1,0.0,10424.7,497.3,10.0,0.8,1.0,0.5
2021-05-17 17:08:45,3.1,0.6,0.0,10424.7,497.3,23.0,0.8,4.0,0.5
2021-05-17 17:08:46,4.3,1.5,1.4,10424.7,497.3,32.7,0.8,16.8,0.5
2021-05-17 17:08:47,1.3,0.5,0.0,10425.3,496.6,15.0,0.8,3.0,0.5
2021-05-17 17:08:48,2.0,0.3,0.0,10425.3,496.6,12.0,0.8,2.0,0.5
2021-05-17 17:08:49,1.3,0.9,0.0,10425.3,496.6,12.0,0.8,1.0,0.5
2021-05-17 17:08:50,1.8,0.8,0.0,10422.6,499.3,12.0,0.8,3.0,0.5
2021-05-17 17:08:51,5.5,1.0,1.7,10422.6,499.3,36.0,0.8,17.0,0.5
2021-05-17 17:08:52,2.5,0.5,0.1,10422.6,499.3,21.8,0.8,2.0,0.5
2021-05-17 17:08:53,2.0,1.0,0.1,10421.7,500.1,12.0,0.8,3.0,0.5
2021-05-17 17:08:54,1.8,0.6,0.4,10421.7,500.1,11.0,0.8,2.0,0.5
2021-05-17 17:08:55,0.8,0.2,0.0,10421.7,500.1,8.0,0.8,1.0,0.5
2021-05-17 17:08:56,1.9,0.5,0.3,10424.5,497.2,17.0,0.8,3.0,0.5
2021-05-17 17:08:57,4.9,0.9,1.1,10424.5,497.2,33.0,0.8,15.0,0.5
2021-05-17 17:08:58,3.0,1.6,0.5,10424.5,497.2,23.8,0.8,2.0,0.5
2021-05-17 17:08:59,1.6,0.5,0.1,10425.7,496.2,11.0,0.8,3.0,0.5
2021-05-17 17:09:00,1.8,0.3,0.1,10425.7,496.2,13.0,0.8,2.0,0.5
2021-05-17 17:09:01,0.6,0.0,0.1,10425.7,496.2,4.0,0.8,1.0,0.5
2021-05-17 17:09:02,3.5,0.2,0.2,10424.5,497.4,24.0,0.8,6.0,0.5
2021-05-17 17:09:03,7.0,0.9,0.9,10424.5,497.4,38.6,0.8,31.7,0.5
2021-05-17 17:09:04,1.8,1.0,0.3,10424.5,497.4,12.0,0.8,4.0,0.5
2021-05-17 17:09:05,2.1,0.7,0.0,10425.4,496.3,17.0,0.8,3.0,0.5
2021-05-17 17:09:06,1.4,0.9,0.4,10425.4,496.3,13.0,0.8,3.0,0.5
2021-05-17 17:09:07,2.5,0.8,0.0,10425.4,496.3,21.0,0.8,3.0,0.5
2021-05-17 17:28:13,1.6,0.0,0.0,10408.8,499.2,6.7,0.8,0.0,0.5
2021-05-17 17:28:14,1.0,0.4,0.4,10408.8,499.2,12.0,0.8,2.0,0.5
2021-05-17 17:28:15,1.5,0.3,0.0,10408.8,499.2,12.0,0.8,3.0,0.5
2021-05-17 17:28:16,2.8,0.6,0.8,10407.2,500.8,21.0,0.8,4.0,0.5
2021-05-17 17:28:17,6.3,1.1,1.2,10407.2,500.8,34.0,0.8,25.0,0.5
