timestamp,rx,tx
2021-05-26 01:15:00+02:00,228911144,262677282
2021-05-26 01:20:00+02:00,228934626,259607079
2021-05-26 01:25:00+02:00,226836504,251131191
2021-05-26 01:30:00+02:00,229335604,255689669
2021-05-26 01:35:00+02:00,236148961,272913968
2021-05-26 01:40:00+02:00,229647978,258575910
2021-05-26 01:45:00+02:00,221260237,248064199
2021-05-26 01:50:00+02:00,218346384,247730802
2021-05-26 01:55:00+02:00,250997579,297052675
2021-05-26 02:00:00+02:00,233117473,276410480
2021-05-26 02:05:00+02:00,244631949,307410808
2021-05-26 02:10:00+02:00,239456673,287083781
2021-05-26 02:15:00+02:00,236309811,273368975
2021-05-26 02:20:00+02:00,237133739,273001450
2021-05-26 02:25:00+02:00,236997973,276372928
2021-05-26 02:30:00+02:00,246471501,293654988
2021-05-26 02:35:00+02:00,231892369,271108060
2021-05-26 02:40:00+02:00,238408198,272259062
2021-05-26 02:45:00+02:00,236089650,278469807
2021-05-26 02:50:00+02:00,224554045,260306857
2021-05-26 02:55:00+02:00,222943287,255199306
2021-05-26 03:00:00+02:00,230923793,274558908
2021-05-26 03:05:00+02:00,237259790,267379429
2021-05-26 03:10:00+02:00,247655373,283723266
2021-05-26 03:15:00+02:00,229175070,255827425
2021-05-26 03:20:00+02:00,226623468,255155109
2021-05-26 03:25:00+02:00,229891514,267764577
2021-05-26 03:30:00+02:00,242873197,304601173
2021-05-26 03:35:00+02:00,335043593,393538132
2021-05-26 03:40:00+02:00,372483985,449686723
2021-05-26 03:45:00+02:00,341197187,412195264
2021-05-26 03:50:00+02:00,423973254,498050018
2021-05-26 03:55:00+02:00,313432536,422526371
2021-05-26 04:00:00+02:00,331276148,386746737
2021-05-26 04:05:00+02:00,302879463,366262305
2021-05-26 04:10:00+02:00,336908417,415077502
2021-05-26 04:15:00+02:00,335427592,450796529
2021-05-26 04:20:00+02:00,297152304,352822274
2021-05-26 04:25:00+02:00,350868805,412021680
2021-05-26 04:30:00+02:00,250221750,284587795
2021-05-26 04:35:00+02:00,253683665,295503166
2021-05-26 04:40:00+02:00,277882963,316953523
2021-05-26 04:45:00+02:00,260405486,299789840
2021-05-26 04:50:00+02:00,258235554,304169234
2021-05-26 04:55:00+02:00,257434562,311997491
2021-05-26 05:00:00+02:00,295024887,349825761
2021-05-26 05:05:00+02:00,234923204,277404294
2021-05-26 05:10:00+02:00,248822723,298917171
2021-05-26 05:15:00+02:00,287819078,333125122
2021-05-26 05:20:00+02:00,293334900,359779665
2021-05-26 05:25:00+02:00,288516304,334841360
2021-05-26 05:30:00+02:00,307783151,365812884
2021-05-26 05:35:00+02:00,233028160,280696803
2021-05-26 05:40:00+02:00,242635451,286049374
2021-05-26 05:45:00+02:00,268809253,322709463
2021-05-26 05:50:00+02:00,256102137,295687332
2021-05-26 05:55:00+02:00,243462319,273113771
2021-05-26 06:00:00+02:00,249927536,308648490
2021-05-26 06:05:00+02:00,272502848,328730689
2021-05-26 06:10:00+02:00,231677362,273377075
2021-05-26 06:15:00+02:00,245985957,289704825
2021-05-26 06:20:00+02:00,298252423,353519866
2021-05-26 06:25:00+02:00,230556966,276219009
2021-05-26 06:30:00+02:00,235055394,275404449
2021-05-26 06:35:00+02:00,253193980,308069170
2021-05-26 06:40:00+02:00,236876623,278617908
2021-05-26 06:45:00+02:00,237518498,280450266
2021-05-26 06:50:00+02:00,246955763,313657755
2021-05-26 06:55:00+02:00,239439652,288495891
2021-05-26 07:00:00+02:00,250908868,304634484
2021-05-26 07:05:00+02:00,240992391,292389660
2021-05-26 07:10:00+02:00,242099541,304167522
2021-05-26 07:15:00+02:00,232582921,272683391
2021-05-26 07:20:00+02:00,225638306,270866182
2021-05-26 07:25:00+02:00,228368507,272202671
2021-05-26 07:30:00+02:00,226098049,273767011
2021-05-26 07:35:00+02:00,226573638,269287857
2021-05-26 07:40:00+02:00,235630445,295034998
2021-05-26 07:45:00+02:00,258939572,315365451
2021-05-26 07:50:00+02:00,232266810,269965252
2021-05-26 07:55:00+02:00,230022999,271128601
2021-05-26 08:00:00+02:00,232804973,267843926
2021-05-26 08:05:00+02:00,237814314,277860141
2021-05-26 08:10:00+02:00,269655132,323181937
2021-05-26 08:15:00+02:00,250576648,302227079
2021-05-26 08:20:00+02:00,253620491,287784968
2021-05-26 08:25:00+02:00,254876560,312680824
2021-05-26 08:30:00+02:00,257957286,331841622
2021-05-26 08:35:00+02:00,286565707,356918111
2021-05-26 08:40:00+02:00,251979445,309276015
2021-05-26 08:45:00+02:00,247917779,279071521
2021-05-26 08:50:00+02:00,255340089,301629193
2021-05-26 08:55:00+02:00,228299236,258640584
2021-05-26 09:00:00+02:00,241163312,282630109
2021-05-26 09:05:00+02:00,261602651,301054624
2021-05-26 09:10:00+02:00,259089626,310640492
2021-05-26 09:15:00+02:00,253652311,293733310
2021-05-26 09:20:00+02:00,246342756,273611152
2021-05-26 09:25:00+02:00,234455933,273701305
2021-05-26 09:30:00+02:00,270723865,321800110
2021-05-26 09:35:00+02:00,243082067,272711395
2021-05-26 09:40:00+02:00,256781645,302142486
2021-05-26 09:45:00+02:00,233539409,277334261
2021-05-26 09:50:00+02:00,237060568,281630016
2021-05-26 09:55:00+02:00,223524627,264494324
2021-05-26 10:00:00+02:00,230246862,271628158
2021-05-26 10:05:00+02:00,238503250,283111474
2021-05-26 10:10:00+02:00,261489505,312764635
2021-05-26 10:15:00+02:00,240206553,287014349
2021-05-26 10:20:00+02:00,218684474,264099374
2021-05-26 10:25:00+02:00,235669275,278387772
2021-05-26 10:30:00+02:00,257933157,310559715
2021-05-26 10:35:00+02:00,241492389,285613754
2021-05-26 10:40:00+02:00,281187696,319499551
2021-05-26 10:45:00+02:00,242198363,284137453
2021-05-26 10:50:00+02:00,238411646,277506620
2021-05-26 10:55:00+02:00,259589046,310358591
2021-05-26 11:00:00+02:00,255014129,305249530
2021-05-26 11:05:00+02:00,241141106,278706408
2021-05-26 11:10:00+02:00,253807100,297823024
2021-05-26 11:15:00+02:00,243604066,278563960
2021-05-26 11:20:00+02:00,233538704,266804943
2021-05-26 11:25:00+02:00,219358663,262358323
2021-05-26 11:30:00+02:00,224859214,254395379
2021-05-26 11:35:00+02:00,222328334,256385000
2021-05-26 11:40:00+02:00,243223041,293988778
2021-05-26 11:45:00+02:00,245129637,295125168
2021-05-26 11:50:00+02:00,229378349,261297480
2021-05-26 11:55:00+02:00,224014875,257587305
2021-05-26 12:00:00+02:00,244425806,290622494
2021-05-26 12:05:00+02:00,255762420,313815960
2021-05-26 12:10:00+02:00,310273396,389209833
2021-05-26 12:15:00+02:00,234016890,287979607
2021-05-26 12:20:00+02:00,250978794,301908482
2021-05-26 12:25:00+02:00,276363192,347961641
2021-05-26 12:30:00+02:00,260388991,331652410
2021-05-26 12:35:00+02:00,281724698,363468490
2021-05-26 12:40:00+02:00,292646671,377373909
2021-05-26 12:45:00+02:00,241016864,292938158
2021-05-26 12:50:00+02:00,237754030,287050296
2021-05-26 12:55:00+02:00,234256947,283280210
2021-05-26 13:00:00+02:00,265621808,326020300
2021-05-26 13:05:00+02:00,265444062,317764605
2021-05-26 13:10:00+02:00,269837905,325063027
2021-05-26 13:15:00+02:00,224281891,270131874
2021-05-26 13:20:00+02:00,219927557,254212609
2021-05-26 13:25:00+02:00,227774595,264035819
2021-05-26 13:30:00+02:00,223685753,259230078
2021-05-26 13:35:00+02:00,228133476,269004802
2021-05-26 13:40:00+02:00,227437490,265111290
2021-05-26 13:45:00+02:00,231305806,276873319
2021-05-26 13:50:00+02:00,229448677,269792938
2021-05-26 13:55:00+02:00,232275167,278618147
2021-05-26 14:00:00+02:00,257246377,311891699
2021-05-26 14:05:00+02:00,271427172,322406460
2021-05-26 14:10:00+02:00,258857627,323169160
2021-05-26 14:15:00+02:00,233452386,274817667
2021-05-26 14:20:00+02:00,237155746,291120134
2021-05-26 14:25:00+02:00,261592736,310738088
2021-05-26 14:30:00+02:00,226523257,264139984
2021-05-26 14:35:00+02:00,223802429,269993869
2021-05-26 14:40:00+02:00,230327146,271251397
2021-05-26 14:45:00+02:00,224037384,266629705
2021-05-26 14:50:00+02:00,243264435,293083854
2021-05-26 14:55:00+02:00,236241388,274971246
2021-05-26 15:00:00+02:00,227411509,281624957
2021-05-26 15:05:00+02:00,240088968,285086177
2021-05-26 15:10:00+02:00,242071317,284527158
2021-05-26 15:15:00+02:00,258246047,307871275
2021-05-26 15:20:00+02:00,258659886,303848833
2021-05-26 15:25:00+02:00,259873481,308383993
2021-05-26 15:30:00+02:00,231118441,273109199
2021-05-26 15:35:00+02:00,226114965,265260349
2021-05-26 15:40:00+02:00,237598074,281693164
2021-05-26 15:45:00+02:00,231054391,268205969
2021-05-26 15:50:00+02:00,243679360,288097235
2021-05-26 15:55:00+02:00,263451797,311817286
2021-05-26 16:00:00+02:00,277640542,336362670
2021-05-26 16:05:00+02:00,277122428,302003387
2021-05-26 16:10:00+02:00,293868429,338793699
2021-05-26 16:15:00+02:00,278109305,313463166
2021-05-26 16:20:00+02:00,258630496,297607058
2021-05-26 16:25:00+02:00,243890656,273101942
2021-05-26 16:30:00+02:00,252115813,281530242
2021-05-26 16:35:00+02:00,247605208,267290222
