timestamp;duration;CORE0;CPU0;DRAM0;UNCORE0;EXIT_CODE
2021-05-18T00:00:00+02:00;1001367;15339194;15944722;1123715;;0
2021-05-18T00:00:01+02:00;1004776;838132;1257932;1091977;;0
2021-05-18T00:00:07+02:00;1004473;812620;1230832;1086118;;0
2021-05-18T00:00:11+02:00;1003121;2031733;2490411;1098203;;0
2021-05-18T00:00:16+02:00;1004454;3856130;4314992;1107724;;0
2021-05-18T00:00:18+02:00;1004761;1026669;1426082;1092344;;0
2021-05-18T00:00:24+02:00;1004818;920591;1355892;1110654;;0
2021-05-18T00:00:27+02:00;1003309;4027334;4497364;1106137;;0
2021-05-18T00:00:30+02:00;1002930;806516;1196957;1066465;;0
2021-05-18T00:00:35+02:00;1003584;744932;1163144;1070920;;0
2021-05-18T00:00:37+02:00;1003115;4648669;5147875;1112485;;0
2021-05-18T00:00:40+02:00;1004806;826475;1253964;1096433;;0
2021-05-18T00:00:42+02:00;1003325;5356187;5847703;1093075;;0
2021-05-18T00:00:47+02:00;1004437;2136957;2569329;1092893;;0
2021-05-18T00:00:50+02:00;1004793;909421;1331112;1094419;;0
2021-05-18T00:00:53+02:00;1003049;6136398;6632185;1085385;;0
2021-05-18T00:00:55+02:00;1002902;1097227;1517147;1083799;;0
2021-05-18T00:01:00+02:00;1004874;999693;1427792;1097348;;0
2021-05-18T00:01:04+02:00;1003172;6270981;6773664;1106015;;0
2021-05-18T00:01:08+02:00;1004554;5748337;6170761;1088376;;0
2021-05-18T00:01:10+02:00;1004784;908933;1335812;1090512;;0
2021-05-18T00:01:13+02:00;1004449;947446;1372677;1095700;;0
2021-05-18T00:01:16+02:00;1004680;1077878;1516903;1113767;;0
2021-05-18T00:01:22+02:00;1004780;993955;1431759;1105649;;0
2021-05-18T00:01:26+02:00;1004624;1131406;1582332;1114316;;0
2021-05-18T00:01:30+02:00;1002829;2448846;2847771;1104917;;0
2021-05-18T00:01:36+02:00;1002718;3731374;4159047;1090085;;0
2021-05-18T00:01:37+02:00;1003654;2070673;2523675;1101377;;0
2021-05-18T00:01:43+02:00;1004693;1255612;1689205;1103085;;0
2021-05-18T00:01:47+02:00;1004436;6222091;6682783;1119321;;0
2021-05-18T00:01:49+02:00;1004705;1055906;1480953;1096554;;0
2021-05-18T00:01:54+02:00;1004647;985532;1409482;1093687;;0
2021-05-18T00:01:56+02:00;1004812;811643;1223569;1082272;;0
2021-05-18T00:01:58+02:00;1004512;5069323;5537706;1093014;;0
2021-05-18T00:02:00+02:00;1003165;1219296;1650081;1080747;;0
2021-05-18T00:02:02+02:00;1004890;824461;1237363;1073239;;0
2021-05-18T00:02:04+02:00;1004842;928465;1359738;1092343;;0
2021-05-18T00:02:09+02:00;1003157;4306629;4816211;1117001;;0
2021-05-18T00:02:12+02:00;1004869;1028012;1447750;1099241;;0
2021-05-18T00:02:14+02:00;1002681;7760600;8147440;1090085;;0
2021-05-18T00:02:19+02:00;1003482;2897576;3352835;1139401;;0
2021-05-18T00:02:22+02:00;1004515;968747;1400448;1125180;;0
2021-05-18T00:02:24+02:00;1003913;1769343;2208918;1122983;;0
2021-05-18T00:02:29+02:00;1004797;948606;1364926;1093808;;0
2021-05-18T00:02:33+02:00;1003093;953855;1395199;1088376;;0
2021-05-18T00:02:35+02:00;1004641;5732774;6220016;1117795;;0
2021-05-18T00:02:39+02:00;1004800;843748;1261105;1083738;;0
2021-05-18T00:02:44+02:00;1002839;1762142;2181757;1097043;;0
2021-05-18T00:02:46+02:00;1003082;5694870;6209762;1113095;;0
2021-05-18T00:02:50+02:00;1003998;1355344;1792414;1096372;;0
2021-05-18T00:02:54+02:00;1004509;1129880;1559810;1094846;;0
2021-05-18T00:02:59+02:00;1004296;1346005;1777767;1099302;;0
2021-05-18T00:03:04+02:00;1004563;1256466;1692745;1094602;;0
2021-05-18T00:03:08+02:00;1001959;4259022;4724719;1098386;;0
2021-05-18T00:03:10+02:00;1004745;792662;1209287;1084714;;0
2021-05-18T00:03:14+02:00;1003762;1814876;2262628;1105405;;0
2021-05-18T00:03:18+02:00;1003232;847288;1272641;1071042;;0
2021-05-18T00:03:22+02:00;1004680;886533;1316097;1097471;;0
2021-05-18T00:03:25+02:00;1004342;2307794;2762445;1106930;;0
2021-05-18T00:03:29+02:00;1003436;1790401;2229791;1089902;;0
2021-05-18T00:03:31+02:00;1004770;830198;1251522;1084226;;0
2021-05-18T00:03:33+02:00;1001362;1241452;1638118;1066953;;0
2021-05-18T00:03:39+02:00;1004538;884885;1302060;1078793;;0
2021-05-18T00:03:44+02:00;1003255;1930537;2374261;1084409;;0
2021-05-18T00:03:50+02:00;1004780;810789;1185605;1067258;;0
2021-05-18T00:03:51+02:00;1003342;5467393;5948532;1105649;;0
2021-05-18T00:03:56+02:00;1002858;5449998;5880722;1096371;;0
2021-05-18T00:04:01+02:00;1002681;1386716;1751582;1060422;;0
2021-05-18T00:04:04+02:00;1004681;1335140;1761103;1093381;;0
2021-05-18T00:04:08+02:00;1004600;1127439;1567867;1086911;;0
2021-05-18T00:04:12+02:00;1003293;1752742;2204034;1105771;;0
2021-05-18T00:04:17+02:00;1002663;8709511;9056801;1175656;;0
2021-05-18T00:04:23+02:00;1003763;1284909;1723628;1092588;;0
2021-05-18T00:04:25+02:00;1003325;1968440;2459649;1111753;;0
2021-05-18T00:04:30+02:00;1003205;1498958;1950861;1082334;;0
2021-05-18T00:04:35+02:00;1003627;6954023;7414714;1108640;;0
2021-05-18T00:04:37+02:00;1004732;956907;1385372;1092405;;0
2021-05-18T00:04:42+02:00;1004773;912046;1343381;1109860;;0
2021-05-18T00:04:45+02:00;1002674;2072687;2457880;1086484;;0
2021-05-18T00:04:46+02:00;1003596;2381525;2845513;1116941;;0
2021-05-18T00:04:51+02:00;1003061;4717334;5228503;1114865;;0
2021-05-18T00:04:53+02:00;1005459;847044;1274777;1093686;;0
2021-05-18T00:04:55+02:00;1002939;1472164;1836116;1075925;;0
2021-05-18T00:04:59+02:00;1003123;1564571;2045222;1082089;;0
2021-05-18T00:05:05+02:00;1004824;1164121;1595211;1088559;;0
2021-05-18T00:05:09+02:00;1004125;1156308;1584347;1095578;;0
2021-05-18T00:05:11+02:00;1004811;956052;1380123;1086240;;0
2021-05-18T00:05:17+02:00;1004496;864255;1278073;1084958;;0
2021-05-18T00:05:20+02:00;1004675;1136228;1564144;1101315;;0
2021-05-18T00:05:24+02:00;1003665;1976252;2432550;1111752;;0
2021-05-18T00:05:27+02:00;1004822;856260;1282223;1093686;;0
2021-05-18T00:05:31+02:00;1004798;981015;1414853;1091366;;0
2021-05-18T00:05:36+02:00;1004807;797972;1215817;1081662;;0
2021-05-18T00:05:39+02:00;1004413;5696519;6143905;1086911;;0
2021-05-18T00:05:42+02:00;1002655;1535519;1921138;1093258;;0
2021-05-18T00:05:44+02:00;1001358;5102038;5525315;1069822;;0
2021-05-18T00:05:47+02:00;1004898;1125607;1551510;1094723;;0
2021-05-18T00:05:51+02:00;1001194;3646231;4059926;1075864;;0
2021-05-18T00:05:53+02:00;1004788;999631;1431087;1098508;;0
2021-05-18T00:05:58+02:00;1004449;1113156;1544491;1100644;;0
2021-05-18T00:06:01+02:00;1003055;2958122;3447562;1087339;;0
2021-05-18T00:06:05+02:00;1004912;846189;1266354;1083249;;0
2021-05-18T00:06:08+02:00;1004112;1059750;1502743;1107114;;0
2021-05-18T00:06:12+02:00;1004511;7845928;8299174;1119077;;0
2021-05-18T00:06:16+02:00;1004668;796995;1210263;1082395;;0
2021-05-18T00:06:22+02:00;1003069;4422108;4899707;1118100;;0
2021-05-18T00:06:25+02:00;1004763;871885;1291684;1094785;;0
2021-05-18T00:06:27+02:00;1003161;1216550;1664547;1084409;;0
2021-05-18T00:06:32+02:00;1003363;901242;1331478;1082150;;0
2021-05-18T00:06:35+02:00;1004820;923887;1359249;1097531;;0
2021-05-18T00:06:37+02:00;1004809;1027463;1442929;1084653;;0
2021-05-18T00:06:39+02:00;1004507;4821826;5294848;1098508;;0
2021-05-18T00:06:44+02:00;1003321;3756704;4260853;1107113;;0
2021-05-18T00:06:48+02:00;1004718;1239377;1666378;1112912;;0
2021-05-18T00:06:51+02:00;1004743;941404;1372188;1101987;;0
2021-05-18T00:06:57+02:00;1004764;870115;1289059;1085080;;0
2021-05-18T00:07:03+02:00;1004727;1451351;1893245;1108884;;0
2021-05-18T00:07:06+02:00;1004042;2478631;2937188;1111936;;0
2021-05-18T00:07:08+02:00;1004757;907041;1335751;1093198;;0
2021-05-18T00:07:12+02:00;1003556;3124687;3585502;1086972;;0
2021-05-18T00:07:17+02:00;1002758;7035993;7458843;1114194;;0
2021-05-18T00:07:19+02:00;1003565;943540;1376949;1092526;;0
2021-05-18T00:07:22+02:00;1002614;3255606;3650991;1093747;;0
2021-05-18T00:07:27+02:00;1001349;3784902;4205250;1085447;;0
2021-05-18T00:07:33+02:00;1001414;5371386;5814072;1117001;;0
2021-05-18T00:07:34+02:00;1004761;868955;1294857;1097288;;0
2021-05-18T00:07:37+02:00;1004777;1023679;1439144;1087156;;0
2021-05-18T00:07:39+02:00;1003338;4992785;5478563;1104429;;0
2021-05-18T00:07:44+02:00;1004414;5715623;6165450;1112302;;0
2021-05-18T00:07:47+02:00;1004890;903928;1327572;1091123;;0
2021-05-18T00:07:51+02:00;1002619;1555660;1936702;1084103;;0
2021-05-18T00:07:54+02:00;1004526;6742354;7198773;1115109;;0
2021-05-18T00:08:00+02:00;1003109;6310409;6829512;1101865;;0
2021-05-18T00:08:02+02:00;1004567;1027463;1451961;1099973;;0
