timestamp;duration;CORE0;CPU0;DRAM0;UNCORE0;EXIT_CODE
2021-05-16T00:00:00+02:00;1004333;839842;1259396;1079160;;0
2021-05-16T00:00:03+02:00;1004818;961362;1386959;1087704;;0
2021-05-16T00:00:04+02:00;1004480;3174919;3633414;1118222;;0
2021-05-16T00:00:07+02:00;1004880;823973;1255063;1096188;;0
2021-05-16T00:00:08+02:00;1005005;799070;1224485;1091977;;0
2021-05-16T00:00:10+02:00;1001574;4789843;5254321;1114438;;0
2021-05-16T00:00:16+02:00;1004829;1846004;2306208;1127133;;0
2021-05-16T00:00:17+02:00;1003326;1212644;1642086;1085141;;0
2021-05-16T00:00:20+02:00;1001412;2560357;2976799;1079587;;0
2021-05-16T00:00:24+02:00;1004778;977109;1404171;1094174;;0
2021-05-16T00:00:28+02:00;1004726;853147;1278744;1107664;;0
2021-05-16T00:00:30+02:00;1003380;1112424;1481563;1080685;;0
2021-05-16T00:00:35+02:00;1003447;1125668;1561825;1072141;;0
2021-05-16T00:00:41+02:00;1004239;1085447;1507442;1089902;;0
2021-05-16T00:00:47+02:00;1002983;2325617;2764702;1116758;;0
2021-05-16T00:00:52+02:00;1004639;752927;1169552;1078732;;0
2021-05-16T00:00:53+02:00;1002309;4291493;4765308;1118100;;0
2021-05-16T00:00:56+02:00;1004823;868834;1298276;1095029;;0
2021-05-16T00:00:58+02:00;1002831;3358573;3817923;1113766;;0
2021-05-16T00:01:02+02:00;1004891;861448;1285946;1104001;;0
2021-05-16T00:01:05+02:00;1004764;822813;1243100;1082272;;0
2021-05-16T00:01:10+02:00;1004725;840818;1269955;1100522;;0
2021-05-16T00:01:12+02:00;1003471;791502;1225034;1071652;;0
2021-05-16T00:01:15+02:00;1003863;3211479;3682913;1122495;;0
2021-05-16T00:01:19+02:00;1001438;1481258;1907404;1069394;;0
2021-05-16T00:01:21+02:00;1001721;1720943;2158258;1092954;;0
2021-05-16T00:01:24+02:00;1002271;12195403;12628569;1176694;;0
2021-05-16T00:01:28+02:00;1004783;1079954;1516293;1100584;;0
2021-05-16T00:01:30+02:00;1001230;6869551;7331585;1085141;;0
2021-05-16T00:01:35+02:00;1002840;4953418;5365953;1088925;;0
2021-05-16T00:01:38+02:00;1004769;868467;1299679;1100278;;0
2021-05-16T00:01:42+02:00;1005021;1759884;2210688;1105772;;0
2021-05-16T00:01:45+02:00;1003466;900571;1361385;1066830;;0
2021-05-16T00:01:48+02:00;1004831;910398;1343868;1109189;;0
2021-05-16T00:01:53+02:00;1003147;1209957;1681026;1095578;;0
2021-05-16T00:01:59+02:00;1002831;1712886;2128473;1092222;;0
2021-05-16T00:02:01+02:00;1004791;829893;1254452;1089719;;0
2021-05-16T00:02:04+02:00;1004752;1357174;1811885;1127256;;0
2021-05-16T00:02:09+02:00;1004281;1745357;2190058;1101377;;0
2021-05-16T00:02:12+02:00;1004734;1000546;1426449;1090879;;0
2021-05-16T00:02:15+02:00;1004744;1052854;1489620;1104612;;0
2021-05-16T00:02:21+02:00;1004750;833982;1255734;1089109;;0
2021-05-16T00:02:24+02:00;1001756;1551753;2006953;1090939;;0
2021-05-16T00:02:28+02:00;1004766;770628;1195859;1091306;;0
2021-05-16T00:02:31+02:00;1003011;1470272;1900203;1095151;;0
2021-05-16T00:02:36+02:00;1003512;4114918;4583240;1112973;;0
2021-05-16T00:02:38+02:00;1002368;1126340;1575863;1085813;;0
2021-05-16T00:02:41+02:00;1004434;5845017;6299972;1117429;;0
2021-05-16T00:02:45+02:00;1002025;1985834;2434747;1089170;;0
2021-05-16T00:02:51+02:00;1003913;1766719;2224787;1127683;;0
2021-05-16T00:02:53+02:00;1001600;5738999;6173080;1096433;;0
2021-05-16T00:02:59+02:00;1002810;7201214;7584026;1100034;;0
2021-05-16T00:03:02+02:00;1004643;1256283;1686275;1100461;;0
2021-05-16T00:03:07+02:00;1004431;1041990;1471737;1099607;;0
2021-05-16T00:03:12+02:00;1004752;1132993;1562191;1104245;;0
2021-05-16T00:03:13+02:00;1003517;1023985;1470882;1081906;;0
2021-05-16T00:03:17+02:00;1004765;2455560;2900628;1110043;;0
2021-05-16T00:03:18+02:00;1004453;1785884;2248773;1095761;;0
2021-05-16T00:03:22+02:00;1003246;7201154;7666789;1095640;;0
2021-05-16T00:03:27+02:00;1004587;2121271;2561395;1112607;;0
2021-05-16T00:03:30+02:00;1004584;893247;1315792;1098752;;0
2021-05-16T00:03:34+02:00;1002442;2787469;3183037;1090818;;0
2021-05-16T00:03:35+02:00;1004534;1602779;2039485;1121823;;0
2021-05-16T00:03:40+02:00;1003765;7357342;7814799;1116575;;0
2021-05-16T00:03:42+02:00;1002635;875730;1258236;1070188;;0
2021-05-16T00:03:45+02:00;1003685;2614739;3060905;1106015;;0
2021-05-16T00:03:49+02:00;1004534;938169;1376706;1100339;;0
2021-05-16T00:03:55+02:00;1004049;914914;1352352;1091305;;0
2021-05-16T00:03:59+02:00;1005016;1763911;2199213;1103818;;0
2021-05-16T00:04:02+02:00;1003294;3812979;4287831;1121151;;0
2021-05-16T00:04:06+02:00;1004537;5380663;5839402;1114377;;0
2021-05-16T00:04:08+02:00;1004644;1260923;1691096;1106381;;0
2021-05-16T00:04:12+02:00;1003104;5542528;6035507;1116391;;0
2021-05-16T00:04:15+02:00;1004711;1415951;1859859;1103512;;0
2021-05-16T00:04:20+02:00;1004569;1040891;1468991;1087339;;0
2021-05-16T00:04:23+02:00;1003476;1442685;1905147;1110288;;0
2021-05-16T00:04:26+02:00;1004515;1108274;1535335;1112302;;0
2021-05-16T00:04:30+02:00;1003141;4727038;5143297;1145627;;0
2021-05-16T00:04:35+02:00;1004054;5550522;6004318;1119687;;0
2021-05-16T00:04:39+02:00;1004047;2143488;2597162;1113034;;0
2021-05-16T00:04:44+02:00;1004043;2812248;3264945;1103879;;0
2021-05-16T00:04:47+02:00;1003148;3739980;4226247;1123898;;0
2021-05-16T00:04:50+02:00;1003187;1584590;2033809;1092465;;0
2021-05-16T00:04:53+02:00;1003240;5813340;6288131;1124143;;0
2021-05-16T00:04:57+02:00;1004845;1508846;1935542;1095334;;0
2021-05-16T00:05:01+02:00;1005067;998715;1421017;1089109;;0
2021-05-16T00:05:03+02:00;1004475;1169613;1580990;1083798;;0
2021-05-16T00:05:08+02:00;1001750;2580316;2980766;1095456;;0
2021-05-16T00:05:12+02:00;1004935;2761040;3221061;1120847;;0
2021-05-16T00:05:17+02:00;1003092;2099909;2526666;1072934;;0
2021-05-16T00:05:19+02:00;1004515;1045835;1477108;1104977;;0
2021-05-16T00:05:23+02:00;1004470;1332027;1762202;1096433;;0
2021-05-16T00:05:26+02:00;1004759;895689;1313412;1086057;;0
2021-05-16T00:05:28+02:00;1004510;1588192;2022578;1111753;;0
2021-05-16T00:05:31+02:00;1003271;971921;1402951;1071409;;0
2021-05-16T00:05:37+02:00;1004552;1293148;1711482;1092100;;0
2021-05-16T00:05:40+02:00;1004479;971188;1401547;1099911;;0
2021-05-16T00:05:44+02:00;1001950;3380362;3839834;1123471;;0
2021-05-16T00:05:49+02:00;1003010;4883898;5391832;1096555;;0
2021-05-16T00:05:54+02:00;1002720;4969592;5381090;1090146;;0
2021-05-16T00:05:56+02:00;1004677;926877;1359432;1100583;;0
2021-05-16T00:05:57+02:00;1004754;1063963;1424313;1082699;;0
2021-05-16T00:06:00+02:00;1003617;4230336;4702747;1136532;;0
2021-05-16T00:06:02+02:00;1004558;881651;1303219;1089475;;0
2021-05-16T00:06:07+02:00;1005050;1116697;1547481;1096555;;0
2021-05-16T00:06:12+02:00;1003300;2267511;2708062;1109189;;0
2021-05-16T00:06:13+02:00;1004992;948912;1378780;1095334;;0
2021-05-16T00:06:16+02:00;1003384;1818660;2264582;1094358;;0
2021-05-16T00:06:19+02:00;1004549;1230893;1652645;1092039;;0
2021-05-16T00:06:22+02:00;1003050;4786852;5276781;1113157;;0
2021-05-16T00:06:28+02:00;1001271;6732038;7157879;1091794;;0
2021-05-16T00:06:33+02:00;1003075;5258592;5758347;1117184;;0
2021-05-16T00:06:39+02:00;1003400;3646658;4129201;1124020;;0
2021-05-16T00:06:43+02:00;1003381;944456;1354672;1081723;;0
2021-05-16T00:06:44+02:00;1003017;2809014;3280510;1113705;;0
2021-05-16T00:06:48+02:00;1001668;1156552;1570979;1072995;;0
2021-05-16T00:06:50+02:00;1003153;5940049;6429916;1111630;;0
2021-05-16T00:06:52+02:00;1004580;974424;1396908;1093564;;0
2021-05-16T00:06:54+02:00;1001272;2684319;3094047;1086362;;0
2021-05-16T00:06:59+02:00;1003428;1902949;2336054;1077878;;0
2021-05-16T00:07:01+02:00;1003532;2953117;3419059;1116452;;0
2021-05-16T00:07:05+02:00;1002688;4166677;4570911;1087034;;0
2021-05-16T00:07:07+02:00;1004730;965512;1403439;1108335;;0
2021-05-16T00:07:10+02:00;1004715;892393;1317746;1098508;;0
2021-05-16T00:07:14+02:00;1004501;844237;1268063;1088865;;0
2021-05-16T00:07:19+02:00;1004734;2565118;3022026;1121457;;0
2021-05-16T00:07:25+02:00;1004013;10308750;10729037;1170590;;0
2021-05-16T00:07:29+02:00;1003180;4018056;4446095;1131528;;0
2021-05-16T00:07:33+02:00;1002633;906919;1350766;1082090;;0
2021-05-16T00:07:36+02:00;1004856;1137265;1567806;1105161;;0
2021-05-16T00:07:41+02:00;1003158;1051328;1505123;1087766;;0
2021-05-16T00:07:44+02:00;1004771;887877;1302548;1086301;;0
2021-05-16T00:07:47+02:00;1004873;937009;1369992;1100217;;0
2021-05-16T00:07:52+02:00;1004618;1014158;1459591;1111814;;0
2021-05-16T00:07:58+02:00;1003169;1689204;2111567;1087033;;0
2021-05-16T00:08:01+02:00;1003311;5471727;5948471;1125058;;0
2021-05-16T00:08:06+02:00;1004432;1591793;2031550;1115048;;0
2021-05-16T00:08:07+02:00;1002137;6438094;6916059;1082639;;0
2021-05-16T00:08:12+02:00;1002906;1388425;1779903;1078122;;0
2021-05-16T00:08:16+02:00;1004880;827452;1247678;1091855;;0
2021-05-16T00:08:21+02:00;1004823;945982;1388302;1111508;;0
2021-05-16T00:08:26+02:00;1004530;1230343;1663447;1098447;;0
2021-05-16T00:08:28+02:00;1004438;6305526;6769270;1120236;;0
2021-05-16T00:08:30+02:00;1004509;871274;1302121;1099606;;0
2021-05-16T00:08:32+02:00;1004739;786131;1214048;1091000;;0
2021-05-16T00:08:35+02:00;1001446;2316583;2824883;1089353;;0
2021-05-16T00:08:38+02:00;1003421;842344;1271176;1071836;;0
2021-05-16T00:08:39+02:00;1004110;5014758;5488817;1113706;;0
2021-05-16T00:08:45+02:00;1004923;7090558;7518108;1121457;;0
2021-05-16T00:08:47+02:00;1004771;959410;1388669;1104551;;0
2021-05-16T00:08:53+02:00;1004851;1061093;1497006;1105954;;0
2021-05-16T00:08:59+02:00;1001778;1994624;2401117;1071652;;0
2021-05-16T00:09:04+02:00;1004811;839231;1271787;1101743;;0
2021-05-16T00:09:06+02:00;1002963;4824145;5281724;1156980;;0
2021-05-16T00:09:10+02:00;1004809;906370;1328610;1086667;;0
2021-05-16T00:09:12+02:00;1001787;6756087;7222516;1097287;;0
2021-05-16T00:09:17+02:00;1002960;3243034;3713369;1111204;;0
2021-05-16T00:09:22+02:00;1002954;2555230;2998833;1105466;;0
2021-05-16T00:09:24+02:00;1004823;2269342;2723565;1147397;;0
2021-05-16T00:09:26+02:00;1003436;3066521;3571768;1096799;;0
2021-05-16T00:09:27+02:00;1004798;850889;1273923;1084103;;0
2021-05-16T00:09:31+02:00;1003162;1237973;1675044;1105344;;0
2021-05-16T00:09:36+02:00;1004736;1032895;1471615;1096860;;0
2021-05-16T00:09:39+02:00;1004804;1254940;1677975;1088987;;0
2021-05-16T00:09:45+02:00;1002692;1425655;1808345;1078732;;0
2021-05-16T00:09:49+02:00;1003420;1199399;1658992;1090513;;0
2021-05-16T00:09:53+02:00;1004847;1303830;1737605;1108212;;0
2021-05-16T00:09:57+02:00;1003684;5591233;6061935;1116758;;0
2021-05-16T00:09:58+02:00;1004805;969114;1411251;1106260;;0
2021-05-16T00:10:01+02:00;1001985;1559688;1986873;1089658;;0
2021-05-16T00:10:05+02:00;1004793;932371;1353634;1096677;;0
2021-05-16T00:10:11+02:00;1004803;808469;1232174;1098935;;0
2021-05-16T00:10:14+02:00;1003357;1483090;1940669;1105527;;0
2021-05-16T00:10:17+02:00;1002096;981931;1412472;1070737;;0
2021-05-16T00:10:19+02:00;1004544;863218;1292294;1097958;;0
2021-05-16T00:10:21+02:00;1004726;854612;1285459;1096799;;0
2021-05-16T00:10:22+02:00;1002886;1528133;1948603;1091916;;0
2021-05-16T00:10:24+02:00;1003971;4358876;4798694;1172665;;0
2021-05-16T00:10:26+02:00;1004702;993955;1429440;1104612;;0
2021-05-16T00:10:29+02:00;1003738;4000234;4465809;1094785;;0
2021-05-16T00:10:34+02:00;1004707;1842768;2291254;1115414;;0
2021-05-16T00:10:36+02:00;1004530;857115;1286984;1109616;;0
2021-05-16T00:10:41+02:00;1004564;1412961;1856990;1106626;;0
2021-05-16T00:10:43+02:00;1004879;815306;1240597;1096066;;0
2021-05-16T00:10:46+02:00;1004845;990293;1422970;1112241;;0
2021-05-16T00:10:51+02:00;1004775;695921;1106870;1080197;;0
2021-05-16T00:10:57+02:00;1003121;1821285;2284052;1099424;;0
2021-05-16T00:11:02+02:00;1003843;2064875;2511530;1106992;;0
2021-05-16T00:11:04+02:00;1003381;1218930;1693477;1090329;;0
2021-05-16T00:11:09+02:00;1004522;1048337;1480831;1109616;;0
2021-05-16T00:11:10+02:00;1004808;792906;1212338;1081724;;0
2021-05-16T00:11:14+02:00;1004491;877988;1310544;1107724;;0
2021-05-16T00:11:20+02:00;1004603;828062;1257687;1101620;;0
2021-05-16T00:11:24+02:00;1002748;12700041;13049466;1181882;;0
2021-05-16T00:11:26+02:00;1004529;1253231;1677120;1089414;;0
2021-05-16T00:11:28+02:00;1003138;4998034;5502793;1100766;;0
2021-05-16T00:11:31+02:00;1001492;3176445;3619131;1079343;;0
2021-05-16T00:11:34+02:00;1002838;1648372;2015315;1107480;;0
2021-05-16T00:11:40+02:00;1004848;722594;1139280;1080686;;0
2021-05-16T00:11:44+02:00;1004513;973264;1409848;1114743;;0
2021-05-16T00:11:48+02:00;1003318;4545277;5001024;1132322;;0
2021-05-16T00:11:52+02:00;1004871;913267;1324582;1088559;;0
2021-05-16T00:11:57+02:00;1003565;1127011;1566280;1080381;;0
2021-05-16T00:12:01+02:00;1004556;1412960;1849056;1104124;;0
2021-05-16T00:12:06+02:00;1004845;917722;1346371;1093748;;0
2021-05-16T00:12:11+02:00;1004849;773436;1192807;1078061;;0
2021-05-16T00:12:15+02:00;1003587;2797723;3223868;1087033;;0
2021-05-16T00:12:18+02:00;1004449;4069448;4506885;1095883;;0
2021-05-16T00:12:22+02:00;1001337;8845680;9316993;1114865;;0
