timestamp;duration;CORE0;CPU0;DRAM0;UNCORE0;EXIT_CODE
2021-06-22T00:00:01+02:00;1004616;13081876;13524196;1138058;;0
2021-06-22T00:00:07+02:00;1004887;1126462;1568294;1110470;;0
2021-06-22T00:00:10+02:00;1003135;5191881;5719529;1205563;;0
2021-06-22T00:00:12+02:00;1004980;2342096;2801202;1124265;;0
2021-06-22T00:00:18+02:00;1001325;1432003;1839229;1079159;;0
2021-06-22T00:00:21+02:00;1002689;2376459;2858391;1111142;;0
2021-06-22T00:00:24+02:00;1004585;1086545;1525142;1097531;;0
2021-06-22T00:00:27+02:00;1001254;5635667;6115340;1115232;;0
2021-06-22T00:00:30+02:00;1004929;1353024;1798031;1118039;;0
2021-06-22T00:00:34+02:00;1004779;1601253;2052058;1115354;;0
2021-06-22T00:00:36+02:00;1001293;2476434;2843743;1091794;;0
2021-06-22T00:00:41+02:00;1002118;1348141;1810054;1092161;;0
2021-06-22T00:00:43+02:00;1002368;6219406;6717940;1115109;;0
2021-06-22T00:00:49+02:00;1003072;4000173;4501697;1125791;;0
2021-06-22T00:00:55+02:00;1004266;2059259;2524103;1132077;;0
2021-06-22T00:00:57+02:00;1004797;848020;1282528;1097898;;0
2021-06-22T00:00:58+02:00;1004767;1175168;1610714;1105344;;0
2021-06-22T00:01:00+02:00;1004616;2343622;2813591;1120664;;0
2021-06-22T00:01:02+02:00;1005178;2679436;3145134;1117978;;0
2021-06-22T00:01:05+02:00;1002522;8658974;9202125;1138181;;0
2021-06-22T00:01:09+02:00;1005030;852842;1286801;1102659;;0
2021-06-22T00:01:15+02:00;1002698;2907341;3299247;1096616;;0
2021-06-22T00:01:18+02:00;1004615;1662655;2101374;1108274;;0
2021-06-22T00:01:23+02:00;1004828;901853;1346920;1115354;;0
2021-06-22T00:01:26+02:00;1002879;7478252;7907024;1095334;;0
2021-06-22T00:01:30+02:00;1005017;1284176;1727413;1116086;;0
2021-06-22T00:01:36+02:00;1004420;867735;1297543;1098752;;0
