timestamp;duration;CORE0;CPU0;DRAM0;UNCORE0;EXIT_CODE
2021-06-25T00:00:00+02:00;1001274;2234430;2661248;1086179;;0
2021-06-25T00:00:03+02:00;1004584;1252072;1686397;1107175;;0
2021-06-25T00:00:06+02:00;1004040;2182672;2624566;1104673;;0
2021-06-25T00:00:11+02:00;1003137;1518002;1982722;1112790;;0
2021-06-25T00:00:12+02:00;1002634;1425412;1820918;1084226;;0
2021-06-25T00:00:16+02:00;1003288;4723438;5189318;1104001;;0
2021-06-25T00:00:17+02:00;1004871;1179685;1610287;1107785;;0
2021-06-25T00:00:21+02:00;1004492;5844223;6303268;1123655;;0
2021-06-25T00:00:23+02:00;1004513;960020;1386898;1098446;;0
2021-06-25T00:00:25+02:00;1004807;921323;1350033;1095578;;0
2021-06-25T00:00:26+02:00;1002979;4388783;4860400;1086117;;0
2021-06-25T00:00:30+02:00;1004839;860411;1286801;1092100;;0
2021-06-25T00:00:33+02:00;1004271;1271848;1719295;1108395;;0
2021-06-25T00:00:35+02:00;1004809;1160642;1579830;1091733;;0
2021-06-25T00:00:40+02:00;1004756;1098141;1532345;1105771;;0
2021-06-25T00:00:41+02:00;1004516;854612;1280820;1089169;;0
2021-06-25T00:00:43+02:00;1001356;6042649;6489241;1086545;;0
2021-06-25T00:00:47+02:00;1002853;1385616;1809200;1087095;;0
2021-06-25T00:00:52+02:00;1002640;4204457;4614124;1086057;;0
2021-06-25T00:00:58+02:00;1001769;5721787;6145614;1125668;;0
2021-06-25T00:01:02+02:00;1004790;866391;1300778;1101255;;0
2021-06-25T00:01:04+02:00;1004445;5476609;5949997;1121762;;0
2021-06-25T00:01:07+02:00;1001599;1143796;1574459;1069272;;0
2021-06-25T00:01:11+02:00;1003373;1076535;1507015;1088071;;0
2021-06-25T00:01:14+02:00;1002806;1658626;2073298;1093869;;0
2021-06-25T00:01:17+02:00;1004734;1238401;1676875;1104307;;0
2021-06-25T00:01:19+02:00;1004772;1077512;1512447;1097165;;0
2021-06-25T00:01:21+02:00;1004604;1417599;1862055;1118101;;0
2021-06-25T00:01:24+02:00;1004378;838559;1264523;1092099;;0
2021-06-25T00:01:27+02:00;1003556;1571285;2021601;1114255;;0
2021-06-25T00:01:29+02:00;1003153;937070;1382015;1088986;;0
2021-06-25T00:01:31+02:00;1003176;1789241;2220148;1095822;;0
2021-06-25T00:01:37+02:00;1004499;2331049;2780450;1100949;;0
2021-06-25T00:01:42+02:00;1002658;2999626;3394217;1089108;;0
2021-06-25T00:01:45+02:00;1004928;869078;1297299;1105222;;0
2021-06-25T00:01:47+02:00;1004416;1033139;1455807;1091062;;0
2021-06-25T00:01:49+02:00;1001448;4074940;4558704;1090573;;0
2021-06-25T00:01:54+02:00;1004514;7191815;7652141;1149472;;0
2021-06-25T00:01:59+02:00;1002774;8184733;8575539;1155210;;0
2021-06-25T00:02:00+02:00;1003987;3051934;3481620;1123349;;0
2021-06-25T00:02:05+02:00;1004639;1318112;1762813;1125913;;0
2021-06-25T00:02:11+02:00;1003372;1304501;1790767;1102720;;0
2021-06-25T00:02:14+02:00;1004798;1104855;1536495;1104794;;0
2021-06-25T00:02:17+02:00;1004610;1315548;1752437;1105283;;0
2021-06-25T00:02:20+02:00;1004892;817381;1240109;1093687;;0
2021-06-25T00:02:25+02:00;1004829;1047910;1475705;1088560;;0
2021-06-25T00:02:28+02:00;1003751;1349056;1777400;1091061;;0
2021-06-25T00:02:30+02:00;1004793;752561;1172238;1090330;;0
2021-06-25T00:02:33+02:00;1003266;1159055;1592892;1096432;;0
2021-06-25T00:02:36+02:00;1004565;1630612;1961909;1108091;;0
2021-06-25T00:02:39+02:00;1004752;866025;1300595;1103086;;0
2021-06-25T00:02:44+02:00;1004000;1465084;1922786;1118527;;0
2021-06-25T00:02:48+02:00;1003343;5455735;5933213;1144468;;0
2021-06-25T00:02:50+02:00;1003019;1484249;1974299;1107724;;0
2021-06-25T00:02:53+02:00;1004613;1205319;1631710;1095457;;0
2021-06-25T00:02:56+02:00;1004787;900999;1343564;1112729;;0
2021-06-25T00:02:58+02:00;1004568;1412105;1851069;1102231;;0
2021-06-25T00:03:01+02:00;1004807;970884;1401120;1099546;;0
2021-06-25T00:03:04+02:00;1004758;905271;1329586;1094235;;0
2021-06-25T00:03:08+02:00;1004608;1486325;1929805;1102902;;0
2021-06-25T00:03:10+02:00;1004489;1159909;1607540;1090086;;0
2021-06-25T00:03:13+02:00;1004367;1011716;1450558;1101133;;0
2021-06-25T00:03:15+02:00;1004551;1175473;1597714;1089109;;0
2021-06-25T00:03:20+02:00;1004463;960203;1381771;1099118;;0
2021-06-25T00:03:24+02:00;1004502;1536434;1972102;1098935;;0
2021-06-25T00:03:27+02:00;1003085;6702253;7203289;1116209;;0
2021-06-25T00:03:29+02:00;1004519;987729;1417965;1097776;;0
2021-06-25T00:03:32+02:00;1004419;3987417;4437672;1098874;;0
2021-06-25T00:03:33+02:00;1004618;2333246;2786004;1127072;;0
2021-06-25T00:03:35+02:00;1003016;1169064;1586665;1083188;;0
2021-06-25T00:03:42+02:00;1004970;977048;1414669;1105649;;0
2021-06-25T00:03:45+02:00;1004783;999570;1443722;1102780;;0
2021-06-25T00:03:46+02:00;1004550;823790;1252316;1098935;;0
2021-06-25T00:03:52+02:00;1003250;6709760;7176129;1123655;;0
2021-06-25T00:03:55+02:00;1003388;1447995;1918208;1095944;;0
2021-06-25T00:04:00+02:00;1003127;1159542;1643794;1094174;;0
2021-06-25T00:04:03+02:00;1004603;1356747;1782161;1101010;;0
2021-06-25T00:04:04+02:00;1001365;3387259;3817983;1111081;;0
