timestamp;duration;CORE0;CPU0;DRAM0;UNCORE0;EXIT_CODE
2021-06-23T00:00:01+02:00;1002961;12562224;13037076;1097410;;0
2021-06-23T00:00:02+02:00;1003885;1038694;1495540;1114255;;0
2021-06-23T00:00:07+02:00;1004571;1609921;2058954;1110348;;0
2021-06-23T00:00:11+02:00;1003139;2634636;3099418;1118405;;0
2021-06-23T00:00:15+02:00;1002657;3817312;4221669;1089475;;0
2021-06-23T00:00:19+02:00;1004613;1019528;1448666;1107603;;0
2021-06-23T00:00:25+02:00;1003418;939207;1376156;1081967;;0
2021-06-23T00:00:30+02:00;1004760;1725947;2176203;1116269;;0
2021-06-23T00:00:35+02:00;1004196;1684199;2129145;1106626;;0
2021-06-23T00:00:39+02:00;1001709;5742112;6165694;1086423;;0
2021-06-23T00:00:42+02:00;1004955;884824;1324398;1104611;;0
2021-06-23T00:00:46+02:00;1004650;1194028;1654415;1117673;;0
2021-06-23T00:00:52+02:00;1004516;1324521;1782222;1116086;;0
2021-06-23T00:00:57+02:00;1003425;1086545;1527828;1103025;;0
2021-06-23T00:01:01+02:00;1003228;3240898;3774282;1104734;;0
2021-06-23T00:01:03+02:00;1004715;2993706;3444816;1103635;;0
2021-06-23T00:01:06+02:00;1003113;5898179;6386336;1091428;;0
2021-06-23T00:01:09+02:00;1004860;1001402;1434018;1114988;;0
2021-06-23T00:01:12+02:00;1003475;1145261;1594234;1107480;;0
2021-06-23T00:01:14+02:00;1004775;1262692;1673702;1100339;;0
2021-06-23T00:01:15+02:00;1004932;1412655;1846858;1099241;;0
2021-06-23T00:01:16+02:00;1004485;8367715;8841225;1130673;;0
2021-06-23T00:01:20+02:00;1001617;2090754;2545770;1093808;;0
2021-06-23T00:01:26+02:00;1004133;1879511;2334772;1135068;;0
2021-06-23T00:01:28+02:00;1002749;1712276;2085016;1135556;;0
2021-06-23T00:01:34+02:00;1004582;1975703;2428461;1135983;;0
2021-06-23T00:01:38+02:00;1001910;6777753;7293011;1141354;;0
2021-06-23T00:01:43+02:00;1004540;7600933;8088053;1134091;;0
2021-06-23T00:01:46+02:00;1004821;1390622;1844356;1105039;;0
2021-06-23T00:01:52+02:00;1004681;1270565;1709468;1101254;;0
2021-06-23T00:01:55+02:00;1004612;1866267;2315363;1120907;;0
2021-06-23T00:01:59+02:00;1002819;2562433;2987358;1093136;;0
2021-06-23T00:02:03+02:00;1004759;884641;1316037;1104063;;0
2021-06-23T00:02:07+02:00;1004711;1674922;2126155;1114560;;0
2021-06-23T00:02:12+02:00;1004642;1731563;2184260;1110715;;0
2021-06-23T00:02:17+02:00;1003427;841307;1280759;1090756;;0
2021-06-23T00:02:23+02:00;1003261;1868770;2340875;1106747;;0
2021-06-23T00:02:26+02:00;1001313;8522866;8969947;1105649;;0
2021-06-23T00:02:30+02:00;1003194;1562679;2006526;1077695;;0
2021-06-23T00:02:35+02:00;1003538;1232663;1679439;1100094;;0
2021-06-23T00:02:38+02:00;1002629;7729716;8247781;1108639;;0
2021-06-23T00:02:42+02:00;1003153;1104550;1547848;1087400;;0
2021-06-23T00:02:45+02:00;1004609;1605648;2069514;1114316;;0
2021-06-23T00:02:47+02:00;1004878;1466427;1905513;1103635;;0
2021-06-23T00:02:50+02:00;1003763;1922847;2377497;1105832;;0
2021-06-23T00:02:52+02:00;1004791;1153196;1583126;1099057;;0
2021-06-23T00:02:57+02:00;1004645;1036130;1462338;1094236;;0
2021-06-23T00:03:01+02:00;1004711;1058835;1509945;1121640;;0
2021-06-23T00:03:04+02:00;1004578;7914530;8378275;1120725;;0
2021-06-23T00:03:06+02:00;1002316;1603207;2070063;1096127;;0
2021-06-23T00:03:08+02:00;1004695;1606563;2047907;1109067;;0
2021-06-23T00:03:10+02:00;1001867;8910622;9368690;1114194;;0
2021-06-23T00:03:13+02:00;1004728;1260373;1698421;1109861;;0
2021-06-23T00:03:16+02:00;1003072;4723255;5210131;1119504;;0
2021-06-23T00:03:18+02:00;1004811;1819881;2262018;1104733;;0
2021-06-23T00:03:19+02:00;1002225;1067075;1501827;1074155;;0
2021-06-23T00:03:22+02:00;1003115;1560543;2052729;1108701;;0
2021-06-23T00:03:25+02:00;1003506;1569882;1996577;1082395;;0
2021-06-23T00:03:27+02:00;1003372;4235524;4715320;1124936;;0
2021-06-23T00:03:28+02:00;1005004;1893550;2347833;1133420;;0
2021-06-23T00:03:33+02:00;1001742;1615780;2045038;1098202;;0
2021-06-23T00:03:34+02:00;1003266;1359555;1823970;1106625;;0
2021-06-23T00:03:35+02:00;1004654;1319332;1755854;1103940;;0
2021-06-23T00:03:40+02:00;1004685;1099485;1544124;1112668;;0
2021-06-23T00:03:43+02:00;1003349;3903372;4433094;1131040;;0
2021-06-23T00:03:46+02:00;1004057;1344296;1770869;1083005;;0
2021-06-23T00:03:50+02:00;1003487;1879817;2351556;1095640;;0
2021-06-23T00:03:56+02:00;1004838;1679805;2122675;1101376;;0
2021-06-23T00:03:59+02:00;1003236;7413433;7938517;1125668;;0
2021-06-23T00:04:00+02:00;1004410;2353083;2800286;1118467;;0
2021-06-23T00:04:05+02:00;1003453;2223383;2767083;1121274;;0
2021-06-23T00:04:06+02:00;1004584;1857356;2309381;1112912;;0
2021-06-23T00:04:11+02:00;1001273;2077265;2510614;1082700;;0
2021-06-23T00:04:17+02:00;1004804;2544000;3003410;1124753;;0
2021-06-23T00:04:22+02:00;1002911;14159449;14569176;1189084;;0
2021-06-23T00:04:25+02:00;1003268;8093119;8619058;1105771;;0
2021-06-23T00:04:28+02:00;1003824;2403559;2863091;1117856;;0
2021-06-23T00:04:32+02:00;1004578;970090;1415157;1116941;;0
2021-06-23T00:04:38+02:00;1003714;1510555;1978816;1116453;;0
2021-06-23T00:04:40+02:00;1005340;1032895;1472042;1106077;;0
2021-06-23T00:04:43+02:00;1003211;6810163;7299725;1134335;;0
2021-06-23T00:04:46+02:00;1002130;1390255;1792232;1090451;;0
2021-06-23T00:04:52+02:00;1003028;1380429;1774958;1089719;;0
2021-06-23T00:04:55+02:00;1001728;1392880;1782650;1082273;;0
2021-06-23T00:05:00+02:00;1004792;1528744;1975520;1132138;;0
2021-06-23T00:05:05+02:00;1002408;1854060;2281000;1094357;;0
2021-06-23T00:05:08+02:00;1004857;1208921;1643489;1097775;;0
